Label,Name,Type,PickListValues,ReferenceTo,Length,Precision,Scale,DefaultValue,Formula,IsExternalId,IsRequired
External_Id__c,External_Id__c,Text,,,50,0,0,,,TRUE,FALSE
Created Date,CreatedDate__c,DateTime,,,0,0,0,,,FALSE,FALSE
