Label,Name,Type,PickListValues,ReferenceTo,Length,Precision,Scale,DefaultValue,Formula,IsExternalId,IsRequired
External_Id__c,External_ID__c,Text,,,50,0,0,,,TRUE,FALSE
analyticsdemo_batch_id__c,analyticsdemo_batch_id__c,Text,,,50,0,0,,,FALSE,FALSE
